Day,Time,Subject,Professor,Location
Lundi,8h30-11h30,"M31 : Développement Web","Pr BARKIA","Salle INFO 3"
Lundi,Pause,,,
Lundi,15h-18h,"M28 : Didactique Spéciale","Pr KHARROUBI","Salle INFO 3"
Mardi,8h30-11h30,,,
Mardi,Pause,,,
Mardi,15h-18h,,,
Mercredi,8h30-11h30,"M32 : Technologies des Multimédias","Pr BARKIA","Salle INFO 3"
Mercredi,Pause,,,
Mercredi,15h-18h,"M29 : Structures de Données","Pr EL MOUNADI","Salle INFO 3"
Jeudi,8h30-11h30,"M30 : Bases de Données","Pr RAHMOUNI","Salle INFO 3"
Jeudi,Pause,,,
Jeudi,15h-18h,,,
Vendredi,8h30-11h30,,,
Vendredi,Pause,,,
Vendredi,15h-18h,,,
Samedi,8h30-11h30,"M27-1 : PSYCHOPEDAGOGIE ET DIDACTIQUE","Pr GHASSOUB","Salle INFO 4"
Samedi,Pause,,,
Samedi,15h-18h,,,
